,currency pair,position_limit_for_min_leverage,max_leverage,position_limit_for_max_leverage
0,BTC_USDT,"1,000,000,000",125x,"50,000"
1,ETH_USDT,"800,000,000",125x,"50,000"
2,MANTA_USDT,"2,000,000",50x,"5,000"
3,SOL_USDT,"100,000,000",100x,"10,000"
4,SUI_USDT,"10,000,000",50x,"5,000"
5,WIF_USDT,"2,000,000",50x,"5,000"
6,UMA_USDT,"5,000,000",50x,"5,000"
7,ARB_USDT,"20,000,000",50x,"5,000"
8,MULTI_USDT,NA,NA,NA
9,AVAX_USDT,"50,000,000",75x,"5,000"
10,ARK_USDT,"3,500,000",20x,"10,000"
11,ONDO_USDT,"2,000,000",50x,"5,000"
12,TIA_USDT,"2,000,000",50x,"5,000"
13,DUSK_USDT,"5,000,000",25x,"5,000"
14,SKL_USDT,"3,000,000",20x,"5,000"
15,ICP_USDT,"10,000,000",25x,"5,000"
16,SEI_USDT,"5,000,000",50x,"5,000"
17,INJ_USDT,"20,000,000",25x,"5,000"
18,LSK_USDT,NA,NA,NA
19,LINK_USDT,"50,000,000",75x,"5,000"
20,XRP_USDT,"50,000,000",75x,"5,000"
21,BTC_USD,NA,NA,NA
22,XAI_USDT,"2,000,000",50x,"5,000"
23,ETH_USD,NA,NA,NA
24,XRP_USD,NA,NA,NA
25,ADA_USD,NA,NA,NA
26,MATIC_USDT,"30,000,000",75x,"10,000"
27,APT_USDT,"30,000,000",50x,"5,000"
28,XLM_USD,NA,NA,NA
29,DOGE_USDT,"30,000,000",75x,"5,000"
30,ACE_USDT,"2,000,000",50x,"5,000"
31,CHZ_USDT,"5,000,000",50x,"5,000"
32,BNB_USDT,"50,000,000",75x,"10,000"
33,TRB_USDT,"8,000,000",50x,"5,000"
34,ENS_USDT,"8,000,000",50x,"5,000"
35,ATOM_USD,NA,NA,NA
36,ORDI_USDT,"30,000,000",75x,"5,000"
37,XEM_USDT,"10,000,000",25x,"5,000"
38,SC_USDT,NA,NA,NA
39,GROK_USDT,NA,NA,NA
40,MYRO_USDT,NA,NA,NA
41,PENDLE_USDT,"5,000,000",20x,"5,000"
42,PROM_USDT,NA,NA,NA
43,BLUR_USDT,"10,000,000",50x,"5,000"
44,PYTH_USDT,"2,000,000",50x,"5,000"
45,OP_USDT,"30,000,000",50x,"10,000"
46,ADA_USDT,"50,000,000",75x,"5,000"
47,RLC_USDT,"10,000,000",25x,"5,000"
48,CTSI_USDT,"5,000,000",25x,"5,000"
49,1000BONK_USDT,"2,000,000",50x,"5,000"
50,DOT_USDT,"50,000,000",75x,"10,000"
51,CRV_USDT,"5,000,000",25x,"50,000"
52,NEAR_USDT,"20,000,000",50x,"10,000"
53,MUBI_USDT,NA,NA,NA
54,FTM_USDT,"20,000,000",50x,"5,000"
55,DYDX_USDT,"20,000,000",50x,"5,000"
56,API3_USDT,"4,000,000",50x,"5,000"
57,RUNE_USDT,"5,000,000",50x,"5,000"
58,FILECOIN_USDT,NA,NA,NA
59,GALA_USDT,"30,000,000",50x,"5,000"
60,MAV_USDT,"5,000,000",20x,"5,000"
61,MKR_USDT,"15,000,000",50x,"5,000"
62,LDO_USDT,"20,000,000",50x,"5,000"
63,JTO_USDT,"2,000,000",50x,"5,000"
64,IOTA_USDT,"5,000,000",50x,"5,000"
65,KAS_USDT,"2,000,000",50x,"5,000"
66,HNT_USDT,NA,NA,NA
67,RNDR_USDT,"5,000,000",20x,"5,000"
68,YGG_USDT,"5,000,000",50x,"5,000"
69,STX_USDT,"10,000,000",25x,"5,000"
70,BAKE_USDT,"3,000,000",50x,"5,000"
71,PEOPLE_USDT,"5,000,000",50x,"5,000"
72,SHIB_USDT,NA,NA,NA
73,BTC2_USDT,NA,NA,NA
74,APE_USDT,"10,000,000",50x,"5,000"
75,BLZ_USDT,"3,000,000",20x,"25,000"
76,LTC_USDT,"50,000,000",75x,"5,000"
77,ETC_USDT,"50,000,000",75x,"5,000"
78,SATS_USDT,NA,NA,NA
79,FXS_USDT,"5,000,000",20x,"5,000"
80,LUNC_USDT,NA,NA,NA
81,PEPE_USDT,NA,NA,NA
82,FET_USDT,"5,000,000",25x,"5,000"
83,ATOM_USDT,"20,000,000",75x,"10,000"
84,FTT_USDT,NA,NA,NA
85,AUCTION_USDT,"2,000,000",50x,"5,000"
86,MOVR_USDT,"2,000,000",50x,"5,000"
87,1000RATS_USDT,"2,000,000",50x,"5,000"
88,AMB_USDT,"5,000,000",20x,"5,000"
89,AI_USDT,NA,NA,NA
90,XNA_USDT,NA,NA,NA
91,ONT_USDT,NA,NA,NA
92,WOO_USDT,"5,000,000",50x,"5,000"
93,GRT_USDT,"10,000,000",50x,"5,000"
94,KAVA_USDT,"8,000,000",25x,"5,000"
95,NFP_USDT,"2,000,000",50x,"5,000"
96,WLD_USDT,"10,000,000",50x,"5,000"
97,TRX_USDT,"30,000,000",75x,"10,000"
98,MINA_USDT,"10,000,000",50x,"5,000"
99,MANA_USDT,"10,000,000",50x,"5,000"
100,BIGTIME_USDT,"3,000,000",50x,"5,000"
101,MASK_USDT,"30,000,000",50x,"5,000"
102,PHB_USDT,"5,000,000",20x,"5,000"
103,ZKF_USDT,NA,NA,NA
104,SNX_USDT,"10,000,000",50x,"5,000"
105,STORJ_USDT,"3,500,000",21x,"5,000"
106,ALGO_USDT,"5,000,000",50x,"5,000"
107,YFII_USDT,NA,NA,NA
108,UNI_USDT,"30,000,000",75x,"10,000"
109,CETUS_USDT,NA,NA,NA
110,BCH_USDT,"50,000,000",75x,"5,000"
111,ASTR_USDT,"5,000,000",20x,"5,000"
112,CYBER_USDT,"5,000,000",20x,"5,000"
